LID,Year,Val
15,1950,0.635957324
15,1951,0.637137498
15,1952,0.638199654
15,1953,0.639365537
15,1954,0.640501224
15,1955,0.641593557
15,1956,0.642744366
15,1957,0.643859147
15,1958,0.644977169
15,1959,0.646105742
15,1960,0.647150332
15,1961,0.648150752
15,1962,0.64859578
15,1963,0.649181238
15,1964,0.649669239
15,1965,0.650102669
15,1966,0.650571273
15,1967,0.65107476
15,1968,0.651612903
15,1969,0.652092526
15,1970,0.65260777
15,1971,0.652980132
15,1972,0.653080069
15,1973,0.653214145
15,1974,0.653291372
15,1975,0.65344331
15,1976,0.653534031
15,1977,0.653614458
15,1978,0.653730169
15,1979,0.653846154
15,1980,0.653876478
15,1981,0.653648915
15,1982,0.651012891
15,1983,0.648342977
15,1984,0.645721046
15,1985,0.643072882
15,1986,0.640393443
15,1987,0.637696335
15,1988,0.635022199
15,1989,0.632318501
15,1990,0.629596064
15,1991,0.626913676
15,1992,0.624185928
15,1993,0.621388748
15,1994,0.618724047
15,1995,0.615942936
15,1996,0.613245198
15,1997,0.610481763
15,1998,0.607635866
15,1999,0.604893802
15,2000,0.602106568
15,2001,0.599357787
15,2002,0.596558082
15,2003,0.593761468
15,2004,0.59096994
15,2005,0.588149764
15,2006,0.585274593
15,2007,0.58253128
15,2008,0.579635404
15,2009,0.576821983
15,2010,0.573959572
15,2011,0.571158392
15,2012,0.571495656
15,2013,0.573327116
15,2014,0.575234565
15,2015,0.577140224
15,2016,0.579086318
15,2017,0.580929487
15,2018,0.582952468
15,2019,0.585148854
15,2020,0.587451606
15,2021,0.589932962
15,2022,0.592563201
15,2023,0.59529465
15,2024,0.598194131
15,2025,0.601193828
15,2026,0.604384486
15,2027,0.607631874
15,2028,0.611048857
15,2029,0.614661444
15,2030,0.618265146
15,2031,0.622110553
15,2032,0.6260462
15,2033,0.630046844
15,2034,0.634184413
15,2035,0.638461538
15,2036,0.642849181
15,2037,0.647268673
15,2038,0.651800647
15,2039,0.656480036
15,2040,0.661162557
15,2041,0.665959585
15,2042,0.670799821
15,2043,0.675720993
15,2044,0.680613044
15,2045,0.685400806
15,2046,0.69020399
15,2047,0.694939975
15,2048,0.699651803
15,2049,0.704386952
15,2050,0.708943456
15,2051,0.713703007
15,2052,0.718395598
15,2053,0.723088189
15,2054,0.72778078
15,2055,0.73247337
15,2056,0.737165961
15,2057,0.741858552
15,2058,0.746551143
15,2059,0.751243733
15,2060,0.755936324
16,1950,0.914669445
16,1951,0.915668203
16,1952,0.916704858
16,1953,0.917758287
16,1954,0.918817935
16,1955,0.919770451
16,1956,0.920720116
16,1957,0.921760391
16,1958,0.922686106
16,1959,0.923710209
16,1960,0.924620923
16,1961,0.925528455
16,1962,0.926755709
16,1963,0.928372591
16,1964,0.929856307
16,1965,0.931385006
16,1966,0.932869639
16,1967,0.934305803
16,1968,0.935703084
16,1969,0.937083333
16,1970,0.938434385
16,1971,0.939770258
16,1972,0.941091509
16,1973,0.942289888
16,1974,0.943572381
16,1975,0.944836762
16,1976,0.945992853
16,1977,0.948049302
16,1978,0.950081334
16,1979,0.951999188
16,1980,0.953794711
16,1981,0.955364372
16,1982,0.956319515
16,1983,0.957365124
16,1984,0.958312304
16,1985,0.959261874
16,1986,0.960217545
16,1987,0.961174814
16,1988,0.962044382
16,1989,0.962925852
16,1990,0.963725392
16,1991,0.964637912
16,1992,0.965469339
16,1993,0.966202194
